,ID,Artista_original,Artista_similar,Coincidencia
0,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,La T y la M,1
1,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Damas Gratis,0.575148
2,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Ráfaga,0.574782
3,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Los Palmeras,0.492206
4,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Mario Luis,0.474186
5,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Jambao,0.472638
6,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Leo Mattioli,0.468605
7,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Nestor En Bloque,0.463904
8,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Big One,0.462175
9,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Agrupación Marilyn,0.392237
10,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,La Delio Valdez,0.387202
11,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Yerba Brava,0.381038
12,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Los Del Fuego,0.372760
13,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Repiola,0.348948
14,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Alan Gomez,0.347666
15,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Maria Becerra,0.337226
16,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Grupo Red,0.319123
17,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,La Champions Liga,0.315513
18,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,MANO ARRIBA,0.299549
19,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Gilda,0.291154
20,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Ecko,0.289494
21,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,La Base,0.266886
22,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Tiago PZK,0.257000
23,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Callejero Fino,0.256431
24,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,EL DIPY,0.250787
25,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Los Ángeles Azules,0.243515
26,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,La Cumbia,0.239845
27,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Jere Klein,0.228570
28,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Grupo Sombras,0.222720
29,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,NENE MALO,0.222707
30,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,De la calle,0.221785
31,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Los Angeles De Charly,0.218978
32,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,La Joaqui,0.209144
33,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Los Pibes Chorros,0.207863
34,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Los Nota LoKoS,0.199897
35,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Quevedo,0.199382
36,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,La Beriso,0.196545
37,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Rusherking,0.174185
38,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,FMK,0.170904
39,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Mala Fama,0.168942
40,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,El Apache Ness,0.163523
41,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Khea,0.163458
42,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Tony Dize,0.147824
43,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,El Jordan 23,0.131913
44,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Daddy Yankee,0.131263
45,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Piso 21,0.129667
46,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Cosculluela,0.128612
47,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Wisin & Yandel,0.127372
48,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Antonio Rios,0.127311
