,Artista Original,Artista Similar,Coincidencia
0,Grupo 5,Agua Marina,1
1,Grupo 5,Armonia 10,0.923453
2,Grupo 5,Bareto,0.507168
3,Grupo 5,Ráfaga,0.194120
4,Grupo 5,Armonía 10,0.172851
5,Grupo 5,Agua Bella,0.167200
6,Grupo 5,Hermanos Yaipen,0.163406
7,Grupo 5,Los Shapis,0.144671
8,Grupo 5,Orquesta Candela,0.139768
9,Grupo 5,Grupo Néctar,0.138570
10,Grupo 5,Juaneco y su Combo,0.135205
11,Grupo 5,Los Mirlos,0.134248
12,Grupo 5,La Sonora Dinamita,0.129746
13,Grupo 5,Corazón Serrano,0.127196
14,Grupo 5,Tony Rosado,0.124956
15,Grupo 5,Corazon Serrano,0.092388
16,Grupo 5,Chacalón y la nueva crema,0.089137
17,Grupo 5,Agrupación Marilyn,0.087337
18,Grupo 5,Gilda,0.084513
19,Grupo 5,Los Destellos,0.084463
20,Grupo 5,Los Hijos del Sol,0.084031
21,Grupo 5,Grupo Celeste,0.077452
22,Grupo 5,Explosión De Iquitos,0.074774
23,Grupo 5,Los Ecos,0.072536
24,Grupo 5,Los Diablos Rojos,0.072148
25,Grupo 5,Pintura Roja,0.071713
26,Grupo 5,Los Ángeles Azules,0.071649
27,Grupo 5,La Delio Valdez,0.069996
28,Grupo 5,Lisandro Meza,0.067639
29,Grupo 5,Américo,0.061227
30,Grupo 5,Grupo Red,0.061158
31,Grupo 5,Los Kipus,0.055959
32,Grupo 5,Los Ronisch,0.055890
33,Grupo 5,Los Wachiturros,0.055415
34,Grupo 5,Los Angeles De Charly,0.053528
35,Grupo 5,Los Embajadores Criollos,0.053498
36,Grupo 5,Chicos De Barrio,0.052755
37,Grupo 5,Los Iracundos,0.051341
38,Grupo 5,Tommy Portugal,0.048729
39,Grupo 5,Damas Gratis,0.045750
40,Grupo 5,Los Angeles Azules,0.045073
41,Grupo 5,Darell,0.042937
42,Grupo 5,Los Orientales de Paramonga,0.042513
43,Grupo 5,Antonio Rios,0.039366
44,Grupo 5,Margarita La Diosa De La Cumbia,0.038656
45,Grupo 5,Marama,0.038166
46,Grupo 5,Karla,0.036800
47,Grupo 5,Selena,0.036757
48,Grupo 5,Bronco,0.035935
49,Grupo 5,Vico y su grupo Karicia,0.033778
50,Grupo 5,Los Ribereños,0.033346
51,Grupo 5,Jambao,0.031536
52,Grupo 5,Los Pakines,0.031432
53,Grupo 5,Grupo Bryndis,0.028649
54,Grupo 5,Los Palmeras,0.028360
55,Grupo 5,"Willie Colón, Héctor Lavoe",0.027957
56,Grupo 5,noche de brujas,0.026850
57,Grupo 5,Los Morochucos,0.026832
58,Grupo 5,La Noche,0.026133
59,Grupo 5,"Grupo 5, Eddy Herrera",0.023511
60,Grupo 5,Pepe Vásquez,0.022832
61,Grupo 5,Luis Abanto Morales,0.022639
62,Grupo 5,Supermerk2,0.022143
63,Grupo 5,La Cumbia,0.021447
64,Grupo 5,Cuchillazo,0.020569
65,Grupo 5,Amar Azul,0.020387
66,Grupo 5,Pedro Suárez-Vértiz,0.019876
67,Grupo 5,Eva Ayllón,0.017618
68,Grupo 5,Carlos Rivera,0.017569
69,Grupo 5,Lucila Campos,0.017527
70,Grupo 5,Rodolfo Aicardi,0.017375
71,Grupo 5,Axé Bahia,0.017014
72,Grupo 5,Antonio Cartagena,0.013784
73,Grupo 5,Afrodisiaco,0.011548
74,Grupo 5,Nosequien y los Nosecuantos,0.011413
75,Grupo 5,Arena Hash,0.011291
76,Grupo 5,Adolescent's Orquesta,0.011057
77,Grupo 5,Orquesta Caribeños de Guadalupe,0.010437
78,Grupo 5,Gian Marco,0.010399
79,Grupo 5,R.K.M & Ken-Y,0.010045
80,Grupo 5,Libido,0.009957
81,Grupo 5,Amén,0.009655
82,Grupo 5,Angel Y Khriz,0.008926
83,Grupo 5,Chino & Nacho,0.008530
84,Grupo 5,Tony Dize,0.008455
85,Grupo 5,Jerry Rivera,0.007690
86,Grupo 5,De La Ghetto,0.007405
87,Grupo 5,Orquesta Kaliente de Iquitos,0.007362
88,Grupo 5,Mar de Copas,0.007318
89,Grupo 5,Vilma Palma E Vampiros,0.007196
90,Grupo 5,"Chino & Nacho, Daddy Yankee",0.006877
91,Grupo 5,Grupo Niche,0.006813
92,Grupo 5,Eddy Herrera,0.006796
93,Grupo 5,Morat,0.006786
94,Grupo 5,Daddy Yankee,0.006714
95,Grupo 5,Ha*Ash,0.006638
96,Grupo 5,La Única Tropical,0.006588
97,Grupo 5,Lucha Reyes,0.006532
98,Grupo 5,"Tito ""El Bambino""",0.006526
